lon,lat
-32.47878,-3.87753
-32.47833,-3.87794
-32.47753,-3.87794
-32.47672,-3.87881
-32.4725,-3.87881
-32.47169,-3.87958
-32.47003,-3.87958
-32.46753,-3.88206
-32.46667,-3.88206
-32.46625,-3.88167
-32.46625,-3.88086
-32.46506,-3.87958
-32.46419,-3.87958
-32.46294,-3.88086
-32.46294,-3.88167
-32.46167,-3.88292
-32.46003,-3.88292
-32.45961,-3.88253
-32.46042,-3.88167
-32.46042,-3.88086
-32.45922,-3.87958
-32.45836,-3.87958
-32.4575,-3.87878
-32.45669,-3.87878
-32.455,-3.87711
-32.45253,-3.87711
-32.45167,-3.87625
-32.45003,-3.87625
-32.44917,-3.87544
-32.44756,-3.87544
-32.44711,-3.87497
-32.44711,-3.87419
-32.44583,-3.87292
-32.44503,-3.87292
-32.44419,-3.87211
-32.44253,-3.87211
-32.44167,-3.87131
-32.4375,-3.87131
-32.43669,-3.87211
-32.43589,-3.87211
-32.43503,-3.87292
-32.43417,-3.87292
-32.43339,-3.87378
-32.43167,-3.87378
-32.43086,-3.87292
-32.42961,-3.87422
-32.42961,-3.87583
-32.42753,-3.87789
-32.42669,-3.87789
-32.42542,-3.87669
-32.42542,-3.87583
-32.42461,-3.87503
-32.42464,-3.87336
-32.42583,-3.87211
-32.42756,-3.87211
-32.42875,-3.87083
-32.42875,-3.87003
-32.42794,-3.86917
-32.42794,-3.86836
-32.42669,-3.86711
-32.42583,-3.86711
-32.42464,-3.86836
-32.42464,-3.87003
-32.42422,-3.87044
-32.42336,-3.87044
-32.4225,-3.86964
-32.42172,-3.87042
-32.42086,-3.87042
-32.41881,-3.86836
-32.41881,-3.8675
-32.41961,-3.86669
-32.41961,-3.86583
-32.41839,-3.86464
-32.41753,-3.86464
-32.41667,-3.86542
-32.41589,-3.86542
-32.41503,-3.86461
-32.41336,-3.86628
-32.41211,-3.86503
-32.41211,-3.86422
-32.41297,-3.86336
-32.41297,-3.86083
-32.4125,-3.86044
-32.41172,-3.86128
-32.41086,-3.86128
-32.41044,-3.86083
-32.41044,-3.86003
-32.41125,-3.85922
-32.41125,-3.85836
-32.41086,-3.85789
-32.40919,-3.85789
-32.40833,-3.85875
-32.40667,-3.85875
-32.40589,-3.85961
-32.40503,-3.85961
-32.40422,-3.85875
-32.40336,-3.85875
-32.4025,-3.85789
-32.40169,-3.85789
-32.40083,-3.85875
-32.40006,-3.85875
-32.39958,-3.85836
-32.39958,-3.85669
-32.39878,-3.85583
-32.39878,-3.85422
-32.39833,-3.85375
-32.39753,-3.85461
-32.39667,-3.85461
-32.39581,-3.85375
-32.395,-3.85375
-32.39461,-3.85336
-32.39461,-3.85256
-32.39375,-3.85169
-32.39422,-3.85128
-32.39581,-3.85128
-32.39628,-3.85083
-32.39628,-3.85003
-32.39667,-3.84961
-32.39753,-3.84961
-32.39794,-3.84922
-32.39794,-3.84753
-32.39872,-3.84669
-32.39872,-3.84503
-32.39794,-3.84422
-32.39919,-3.84289
-32.40006,-3.84289
-32.40044,-3.8425
-32.40044,-3.84169
-32.40211,-3.84003
-32.40211,-3.83836
-32.40047,-3.83669
-32.40047,-3.83583
-32.39961,-3.83503
-32.39961,-3.83336
-32.40047,-3.8325
-32.40047,-3.83169
-32.40086,-3.83131
-32.40167,-3.83131
-32.40297,-3.8325
-32.40297,-3.83422
-32.40378,-3.83503
-32.40378,-3.83583
-32.40417,-3.83631
-32.40503,-3.83631
-32.40589,-3.83711
-32.4075,-3.83711
-32.40919,-3.83878
-32.41086,-3.83878
-32.41172,-3.83792
-32.41333,-3.83792
-32.41464,-3.83917
-32.41378,-3.84003
-32.41378,-3.84083
-32.41419,-3.84131
-32.41503,-3.84131
-32.41583,-3.84211
-32.41669,-3.84211
-32.41756,-3.84131
-32.41836,-3.84131
-32.42,-3.84292
-32.42339,-3.84292
-32.42419,-3.84378
-32.425,-3.84292
-32.42583,-3.84292
-32.42669,-3.84378
-32.4275,-3.84378
-32.42922,-3.84544
-32.43003,-3.84544
-32.43083,-3.84631
-32.43333,-3.84625
-32.43419,-3.84711
-32.43506,-3.84711
-32.4375,-3.84958
-32.43917,-3.84958
-32.44003,-3.85044
-32.44169,-3.85044
-32.44208,-3.85086
-32.44208,-3.85167
-32.44333,-3.85292
-32.44419,-3.85206
-32.44586,-3.85206
-32.44625,-3.85256
-32.44625,-3.85339
-32.44539,-3.85419
-32.44539,-3.855
-32.44672,-3.85625
-32.4475,-3.85544
-32.44836,-3.85544
-32.44917,-3.85458
-32.45042,-3.85586
-32.45042,-3.85667
-32.45122,-3.85753
-32.45128,-3.85839
-32.45042,-3.85919
-32.45042,-3.86
-32.44964,-3.86086
-32.44964,-3.86167
-32.45042,-3.86253
-32.45042,-3.86339
-32.45083,-3.86378
-32.45253,-3.86378
-32.455,-3.86625
-32.45586,-3.86625
-32.45667,-3.86547
-32.45836,-3.86547
-32.45964,-3.86667
-32.45964,-3.86753
-32.46083,-3.86878
-32.46169,-3.86878
-32.46294,-3.87
-32.46294,-3.87253
-32.46419,-3.87378
-32.46667,-3.87381
-32.46797,-3.875
-32.46797,-3.87667
-32.46839,-3.87706
-32.46917,-3.87706
-32.47003,-3.87792
-32.47089,-3.87794
-32.4725,-3.87628
-32.47672,-3.87628
-32.47753,-3.87547
-32.47833,-3.87547
-32.47878,-3.87586
-32.47878,-3.87753
-32.39711,-3.81336
-32.39583,-3.81464
-32.39253,-3.81464
-32.39206,-3.81503
-32.39211,-3.81583
-32.39292,-3.81669
-32.39253,-3.81711
-32.38836,-3.81711
-32.38756,-3.81631
-32.38669,-3.81631
-32.38583,-3.81544
-32.38503,-3.81631
-32.38378,-3.81503
-32.38378,-3.81336
-32.38331,-3.81297
-32.38253,-3.81294
-32.38211,-3.8125
-32.38333,-3.81131
-32.38503,-3.81131
-32.38669,-3.80964
-32.38756,-3.81044
-32.38836,-3.81044
-32.39086,-3.80792
-32.39167,-3.80792
-32.39292,-3.80917
-32.39208,-3.80997
-32.39208,-3.81083
-32.39253,-3.81131
-32.39419,-3.81131
-32.39497,-3.81211
-32.39583,-3.81211
-32.39711,-3.81336
-32.39794,-3.82169
-32.3975,-3.82211
-32.39583,-3.82211
-32.39503,-3.82131
-32.39417,-3.82131
-32.39292,-3.82003
-32.39292,-3.81922
-32.39339,-3.81878
-32.39583,-3.81878
-32.39669,-3.81958
-32.3975,-3.81958
-32.39789,-3.81997
-32.39794,-3.82169
-32.44625,-3.84919
-32.44586,-3.84958
-32.445,-3.84958
-32.44419,-3.85044
-32.44333,-3.85044
-32.44294,-3.85
-32.44381,-3.84919
-32.44381,-3.84839
-32.44419,-3.84792
-32.44586,-3.84792
-32.44625,-3.84839
-32.44625,-3.84919
-32.38378,-3.80836
-32.38253,-3.80964
-32.38086,-3.80964
-32.38042,-3.80922
-32.38125,-3.80836
-32.37961,-3.80669
-32.38086,-3.80544
-32.38172,-3.80544
-32.38292,-3.80669
-32.38292,-3.8075
-32.38378,-3.80836
-32.40461,-3.86336
-32.40422,-3.86375
-32.4025,-3.86375
-32.40208,-3.86336
-32.40211,-3.86169
-32.4025,-3.86128
-32.40336,-3.86128
-32.40461,-3.86256
-32.40461,-3.86336
-32.40544,-3.82919
-32.40503,-3.82958
-32.40417,-3.82958
-32.40292,-3.82836
-32.40292,-3.8275
-32.40333,-3.82711
-32.40419,-3.82711
-32.40544,-3.82836
-32.40544,-3.82919
-32.39708,-3.82583
-32.39669,-3.82633
-32.39503,-3.82633
-32.39464,-3.82583
-32.39464,-3.82417
-32.39503,-3.82378
-32.39583,-3.82378
-32.39708,-3.82503
-32.39708,-3.82583
-32.41875,-3.83917
-32.41836,-3.83958
-32.41756,-3.83958
-32.41711,-3.83917
-32.41711,-3.83836
-32.41756,-3.83792
-32.41836,-3.83792
-32.41875,-3.83836
-32.41875,-3.83917
-32.44211,-3.87503
-32.44172,-3.87544
-32.44086,-3.87544
-32.43961,-3.87417
-32.43961,-3.87336
-32.44,-3.87292
-32.44086,-3.87292
-32.44211,-3.87417
-32.44211,-3.87503
-32.42292,-3.8725
-32.42086,-3.87461
-32.42,-3.87461
-32.41958,-3.87422
-32.41958,-3.87336
-32.42086,-3.87208
-32.4225,-3.87208
-32.42292,-3.8725
-32.43881,-3.87583
-32.43833,-3.87631
-32.43669,-3.87631
-32.43544,-3.87503
-32.43589,-3.87458
-32.4375,-3.87458
-32.43881,-3.87583
-32.40128,-3.82919
-32.40006,-3.83044
-32.39919,-3.83044
-32.39708,-3.82836
-32.39756,-3.82792
-32.4,-3.82792
-32.40128,-3.82919
