lon,lat
-32.402506,-3.842481
-32.403311,-3.842696
-32.405175,-3.843828
-32.404806,-3.845142
-32.402802,-3.846641
-32.402924,-3.846945
-32.402981,-3.847220
-32.402942,-3.847612
-32.402801,-3.848008
-32.402513,-3.848449
-32.402261,-3.848765
-32.401883,-3.849099
-32.401683,-3.849157
-32.401391,-3.850172
-32.401154,-3.850960
-32.401238,-3.851558
-32.401351,-3.852526
-32.401502,-3.852954
-32.401757,-3.853581
-32.401908,-3.853847
-32.402172,-3.854160
-32.402409,-3.854360
-32.402720,-3.854588
-32.403020,-3.854772
-32.403270,-3.854880
-32.403409,-3.854962
-32.403477,-3.855004
-32.403562,-3.854973
-32.403605,-3.854881
-32.403599,-3.854759
-32.403515,-3.854209
-32.403468,-3.853962
-32.403657,-3.853554
-32.403496,-3.853297
-32.403326,-3.853069
-32.403071,-3.852812
-32.402920,-3.852300
-32.402813,-3.851917
-32.402766,-3.851628
-32.402844,-3.851614
-32.402964,-3.851533
-32.403356,-3.851180
-32.403593,-3.850800
-32.403999,-3.850439
-32.404236,-3.850354
-32.404529,-3.850231
-32.404737,-3.850079
-32.405172,-3.849966
-32.405465,-3.849880
-32.405575,-3.849721
-32.405720,-3.849520
-32.405825,-3.849425
-32.405900,-3.849064
-32.405976,-3.848703
-32.406033,-3.848324
-32.406374,-3.847802
-32.406516,-3.847612
-32.407262,-3.847611
-32.407423,-3.847309
-32.407754,-3.847309
-32.407896,-3.847347
-32.408303,-3.847205
-32.408549,-3.846759
-32.408785,-3.846436
-32.409003,-3.846313
-32.409390,-3.846313
-32.409570,-3.846493
-32.409617,-3.846712
-32.409655,-3.846883
-32.409604,-3.847130
-32.409224,-3.848016
-32.409245,-3.848444
-32.408897,-3.848566
-32.408931,-3.848952
-32.409411,-3.848947
-32.409577,-3.849256
-32.409719,-3.849323
-32.409861,-3.849580
-32.410068,-3.849921
-32.410229,-3.849988
-32.410740,-3.849761
-32.411023,-3.849580
-32.411354,-3.849438
-32.411666,-3.849334
-32.411903,-3.849144
-32.412101,-3.849220
-32.412423,-3.849448
-32.412810,-3.849714
-32.413027,-3.849905
-32.413216,-3.850332
-32.413062,-3.850822
-32.412799,-3.852022
-32.412793,-3.852079
-32.412798,-3.852192
-32.412977,-3.852222
-32.413304,-3.852249
-32.413693,-3.852249
-32.414304,-3.852249
-32.414873,-3.852180
-32.415484,-3.852083
-32.415803,-3.851972
-32.415845,-3.852139
-32.415747,-3.852460
-32.415872,-3.852599
-32.416052,-3.852711
-32.416372,-3.852613
-32.416650,-3.852237
-32.416760,-3.852586
-32.416830,-3.852893
-32.416691,-3.853129
-32.416441,-3.853311
-32.415885,-3.853491
-32.415372,-3.853575
-32.415024,-3.854007
-32.413414,-3.854103
-32.412914,-3.854479
-32.411900,-3.854660
-32.411830,-3.855761
-32.412080,-3.856180
-32.412663,-3.856083
-32.414009,-3.856070
-32.415078,-3.856168
-32.415717,-3.856378
-32.416119,-3.856671
-32.416397,-3.856916
-32.416396,-3.856916
-32.416990,-3.857500
-32.417540,-3.857984
-32.418013,-3.858212
-32.418362,-3.858353
-32.418983,-3.858468
-32.419604,-3.858468
-32.420357,-3.858495
-32.421083,-3.858698
-32.421371,-3.858926
-32.421659,-3.859401
-32.421756,-3.859612
-32.421782,-3.859876
-32.421808,-3.860297
-32.421755,-3.860587
-32.421746,-3.860798
-32.421790,-3.860948
-32.421868,-3.861079
-32.422087,-3.861106
-32.422349,-3.860992
-32.422483,-3.860984
-32.422407,-3.861323
-32.422362,-3.861769
-32.422317,-3.862036
-32.422240,-3.862304
-32.422384,-3.862572
-32.422595,-3.862762
-32.422872,-3.862951
-32.423138,-3.863063
-32.423627,-3.863108
-32.423782,-3.863119
-32.424048,-3.863420
-32.424126,-3.863610
-32.424392,-3.863755
-32.424648,-3.863856
-32.424947,-3.864012
-32.424992,-3.864034
-32.425280,-3.864191
-32.425635,-3.864436
-32.425913,-3.864704
-32.426146,-3.865017
-32.426468,-3.865407
-32.426490,-3.865519
-32.426394,-3.865836
-32.426611,-3.866166
-32.426644,-3.866443
-32.426677,-3.866775
-32.426673,-3.866942
-32.426758,-3.867008
-32.426950,-3.867222
-32.427148,-3.867346
-32.427505,-3.867493
-32.427779,-3.867491
-32.428055,-3.867494
-32.428337,-3.867499
-32.428791,-3.867525
-32.429070,-3.867546
-32.429458,-3.867516
-32.429728,-3.867482
-32.430352,-3.867172
-32.430674,-3.866994
-32.431352,-3.866816
-32.432495,-3.866389
-32.433124,-3.866284
-32.433251,-3.865590
-32.433485,-3.864642
-32.433530,-3.864263
-32.433763,-3.863661
-32.433908,-3.863070
-32.434062,-3.862007
-32.434165,-3.861437
-32.434174,-3.861110
-32.434510,-3.860909
-32.434864,-3.860774
-32.435319,-3.860685
-32.435919,-3.860719
-32.436707,-3.860697
-32.437096,-3.860764
-32.437318,-3.860708
-32.437662,-3.860787
-32.438017,-3.860910
-32.438435,-3.861041
-32.438627,-3.861118
-32.438876,-3.861038
-32.439272,-3.860899
-32.439542,-3.860634
-32.439816,-3.860074
-32.439972,-3.859729
-32.440027,-3.859409
-32.440000,-3.859157
-32.440112,-3.859058
-32.440216,-3.858877
-32.440150,-3.858591
-32.439607,-3.857008
-32.439098,-3.855636
-32.438609,-3.855268
-32.439232,-3.854454
-32.439610,-3.853640
-32.439688,-3.853327
-32.439943,-3.852882
-32.440455,-3.851823
-32.439999,-3.850813
-32.439985,-3.849445
-32.440380,-3.846737
-32.440392,-3.846113
-32.440372,-3.841686
-32.440451,-3.839167
-32.440489,-3.837942
-32.440956,-3.822879
-32.459415,-3.841741
-32.465596,-3.847871
-32.477999,-3.860295
-32.484954,-3.867295
-32.484531,-3.870402
-32.483516,-3.877857
-32.427682,-3.896518
-32.420989,-3.910470
-32.386153,-3.916223
-32.355718,-3.900077
-32.355251,-3.878081
-32.355451,-3.856733
-32.350115,-3.843264
-32.354501,-3.825647
-32.367777,-3.792134
-32.384200,-3.792134
-32.404355,-3.802313
-32.404369,-3.802623
-32.404269,-3.803964
-32.404013,-3.808934
-32.403914,-3.810359
-32.403843,-3.811630
-32.403459,-3.816853
-32.403374,-3.819041
-32.403061,-3.823572
-32.402497,-3.826929
-32.398903,-3.830281
-32.398854,-3.830103
-32.398740,-3.830043
-32.398522,-3.830098
-32.398293,-3.830212
-32.398173,-3.830477
-32.398011,-3.830769
-32.397998,-3.831044
-32.397875,-3.831255
-32.397732,-3.831399
-32.397619,-3.831639
-32.397310,-3.831842
-32.396959,-3.831945
-32.397008,-3.832106
-32.397026,-3.832292
-32.397011,-3.832453
-32.396955,-3.832600
-32.396891,-3.832741
-32.396852,-3.832852
-32.396871,-3.833041
-32.396915,-3.833120
-32.397025,-3.833139
-32.397082,-3.833012
-32.397069,-3.832839
-32.397116,-3.832722
-32.397256,-3.832630
-32.397353,-3.832565
-32.397609,-3.832614
-32.397758,-3.832877
-32.397756,-3.833013
-32.397695,-3.833177
-32.397543,-3.833232
-32.397444,-3.833324
-32.397388,-3.833446
-32.397380,-3.833555
-32.397464,-3.833631
-32.397605,-3.833753
-32.397666,-3.833911
-32.397643,-3.834072
-32.397477,-3.834279
-32.397403,-3.834502
-32.397400,-3.834689
-32.397395,-3.834929
-32.397506,-3.835129
-32.397586,-3.835332
-32.397793,-3.835538
-32.398063,-3.835548
-32.398305,-3.835608
-32.398635,-3.835724
-32.398900,-3.835843
-32.399096,-3.835946
-32.399234,-3.836057
-32.399415,-3.836202
-32.399573,-3.836428
-32.399652,-3.836671
-32.399711,-3.836926
-32.399779,-3.837163
-32.399822,-3.837366
-32.399826,-3.837510
-32.399814,-3.837651
-32.399774,-3.837909
-32.399726,-3.838141
-32.399627,-3.838253
-32.399483,-3.838328
-32.402506,-3.842481
