id,xloc,yloc,cost,locked_in,locked_out
379,-32.47,-3.85,2.95,0,0
380,-32.46,-3.85,4.22,0,0
381,-32.45,-3.85,1.0,0,0
382,-32.44,-3.85,8.6,0,0
383,-32.43,-3.85,8.29,0,0
384,-32.42,-3.85,1.0,0,0
385,-32.41,-3.85,1.0,0,0
386,-32.4,-3.85,1.0,0,0
387,-32.39,-3.85,1.0,0,0
388,-32.38,-3.85,1.0,0,0
389,-32.37,-3.85,4.33,0,0
390,-32.36,-3.85,1.0,0,0
391,-32.35,-3.85,8.15,0,0
392,-32.34,-3.85,5.37,0,0
393,-32.33,-3.85,3.4,0,0
394,-32.32,-3.85,1.0,0,0
395,-32.31,-3.85,1.0,0,0
396,-32.3,-3.85,1.0,0,0
397,-32.65,-3.84,1.0,0,0
398,-32.64,-3.84,1.0,0,0
399,-32.63,-3.84,1.0,0,0
400,-32.62,-3.84,1.0,0,0
401,-32.61,-3.84,1.0,0,0
402,-32.6,-3.84,1.0,0,0
403,-32.59,-3.84,1.0,0,0
404,-32.58,-3.84,1.0,0,0
405,-32.57,-3.84,1.0,0,0
406,-32.56,-3.84,1.0,0,0
407,-32.55,-3.84,1.0,0,0
408,-32.54,-3.84,1.0,0,0
409,-32.53,-3.84,1.0,0,0
410,-32.52,-3.84,1.0,0,0
411,-32.51,-3.84,1.0,0,0
412,-32.5,-3.84,1.0,0,0
413,-32.49,-3.84,1.0,0,0
414,-32.48,-3.84,1.0,0,0
415,-32.47,-3.84,1.0,0,0
416,-32.46,-3.84,8.11,0,0
417,-32.45,-3.84,1.0,0,0
418,-32.44,-3.84,4.89,0,0
419,-32.43,-3.84,8.11,0,0
420,-32.42,-3.84,10.16,0,0
421,-32.41,-3.84,8.42,0,0
422,-32.4,-3.84,1.0,0,0
423,-32.39,-3.84,1.0,0,0
424,-32.38,-3.84,1.0,0,0
425,-32.37,-3.84,1.0,0,0
426,-32.36,-3.84,1.0,0,0
427,-32.35,-3.84,8.16,0,0
428,-32.34,-3.84,4.81,0,0
429,-32.33,-3.84,1.0,0,0
430,-32.32,-3.84,1.0,0,0
431,-32.31,-3.84,1.0,0,0
432,-32.3,-3.84,1.0,0,0
433,-32.65,-3.83,1.0,0,0
434,-32.64,-3.83,1.0,0,0
435,-32.63,-3.83,1.0,0,0
436,-32.62,-3.83,1.0,0,0
437,-32.61,-3.83,1.0,0,0
438,-32.6,-3.83,1.0,0,0
439,-32.59,-3.83,1.0,0,0
440,-32.58,-3.83,1.0,0,0
441,-32.57,-3.83,1.0,0,0
442,-32.56,-3.83,1.0,0,0
443,-32.55,-3.83,1.0,0,0
444,-32.54,-3.83,1.0,0,0
445,-32.53,-3.83,1.0,0,0
446,-32.52,-3.83,1.0,0,0
447,-32.51,-3.83,1.0,0,0
448,-32.5,-3.83,1.0,0,0
449,-32.49,-3.83,1.0,0,0
450,-32.48,-3.83,1.0,0,0
451,-32.47,-3.83,1.0,0,0
452,-32.46,-3.83,1.0,0,0
453,-32.45,-3.83,1.0,0,0
454,-32.44,-3.83,1.0,0,0
455,-32.43,-3.83,1.0,0,0
456,-32.42,-3.83,4.71,0,0
457,-32.41,-3.83,8.96,0,0
458,-32.4,-3.83,7.64,0,0
459,-32.39,-3.83,1.0,0,0
460,-32.38,-3.83,1.0,0,0
461,-32.37,-3.83,1.0,0,0
462,-32.36,-3.83,4.93,0,0
463,-32.35,-3.83,6.3,0,0
464,-32.34,-3.83,1.0,0,0
465,-32.33,-3.83,1.0,0,0
466,-32.32,-3.83,1.0,0,0
467,-32.31,-3.83,1.0,0,0
468,-32.3,-3.83,1.0,0,0
469,-32.65,-3.82,1.0,0,0
470,-32.64,-3.82,1.0,0,0
471,-32.63,-3.82,1.0,0,0
472,-32.62,-3.82,1.0,0,0
473,-32.61,-3.82,1.0,0,0
474,-32.6,-3.82,1.0,0,0
475,-32.59,-3.82,1.0,0,0
476,-32.58,-3.82,1.0,0,0
477,-32.57,-3.82,1.0,0,0
478,-32.56,-3.82,1.0,0,0
479,-32.55,-3.82,1.0,0,0
480,-32.54,-3.82,1.0,0,0
481,-32.53,-3.82,1.0,0,0
482,-32.52,-3.82,1.0,0,0
483,-32.51,-3.82,1.0,0,0
484,-32.5,-3.82,1.0,0,0
485,-32.49,-3.82,1.0,0,0
486,-32.48,-3.82,1.0,0,0
487,-32.47,-3.82,1.0,0,0
488,-32.46,-3.82,1.0,0,0
489,-32.45,-3.82,3.08,0,0
490,-32.44,-3.82,4.74,0,0
491,-32.43,-3.82,1.0,0,0
492,-32.42,-3.82,1.0,0,0
493,-32.41,-3.82,1.0,0,0
494,-32.4,-3.82,7.38,0,0
495,-32.39,-3.82,4.56,0,0
496,-32.38,-3.82,1.0,0,0
497,-32.37,-3.82,1.0,0,0
498,-32.36,-3.82,7.63,0,0
499,-32.35,-3.82,7.97,0,0
500,-32.34,-3.82,1.0,0,0
501,-32.33,-3.82,1.0,0,0
502,-32.32,-3.82,1.0,0,0
503,-32.31,-3.82,1.0,0,0
504,-32.3,-3.82,1.0,0,0
505,-32.65,-3.81,1.0,0,0
506,-32.64,-3.81,1.0,0,0
507,-32.63,-3.81,1.0,0,0
508,-32.62,-3.81,1.0,0,0
509,-32.61,-3.81,1.0,0,0
510,-32.6,-3.81,1.0,0,0
511,-32.59,-3.81,1.0,0,0
512,-32.58,-3.81,1.0,0,0
513,-32.57,-3.81,1.0,0,0
514,-32.56,-3.81,1.0,0,0
515,-32.55,-3.81,1.0,0,0
516,-32.54,-3.81,1.0,0,0
517,-32.53,-3.81,1.0,0,0
518,-32.52,-3.81,1.0,0,0
519,-32.51,-3.81,1.0,0,0
520,-32.5,-3.81,1.0,0,0
521,-32.49,-3.81,1.0,0,0
522,-32.48,-3.81,1.0,0,0
523,-32.47,-3.81,1.0,0,0
524,-32.46,-3.81,1.0,0,0
525,-32.45,-3.81,1.0,0,0
526,-32.44,-3.81,1.0,0,0
527,-32.43,-3.81,1.0,0,0
528,-32.42,-3.81,1.0,0,0
529,-32.41,-3.81,3.83,0,0
530,-32.4,-3.81,5.32,0,0
531,-32.39,-3.81,1.0,0,0
532,-32.38,-3.81,1.0,0,0
533,-32.37,-3.81,1.0,0,0
534,-32.36,-3.81,6.54,0,0
535,-32.35,-3.81,5.66,0,0
536,-32.34,-3.81,1.0,0,0
537,-32.33,-3.81,1.0,0,0
538,-32.32,-3.81,1.0,0,0
539,-32.31,-3.81,1.0,0,0
540,-32.3,-3.81,1.0,0,0
541,-32.65,-3.8,1.0,0,0
542,-32.64,-3.8,1.0,0,0
543,-32.63,-3.8,1.0,0,0
544,-32.62,-3.8,1.0,0,0
545,-32.61,-3.8,1.0,0,0
546,-32.6,-3.8,1.0,0,0
547,-32.59,-3.8,1.0,0,0
548,-32.58,-3.8,1.0,0,0
549,-32.57,-3.8,1.0,0,0
550,-32.56,-3.8,1.0,0,0
551,-32.55,-3.8,1.0,0,0
552,-32.54,-3.8,1.0,0,0
553,-32.53,-3.8,1.0,0,0
554,-32.52,-3.8,1.0,0,0
555,-32.51,-3.8,1.0,0,0
556,-32.5,-3.8,1.0,0,0
557,-32.49,-3.8,1.0,0,0
558,-32.48,-3.8,1.0,0,0
559,-32.47,-3.8,1.0,0,0
560,-32.46,-3.8,1.0,0,0
561,-32.45,-3.8,1.0,0,0
562,-32.44,-3.8,4.71,0,0
563,-32.43,-3.8,1.0,0,0
564,-32.42,-3.8,1.0,0,0
565,-32.41,-3.8,4.18,0,0
566,-32.4,-3.8,1.0,0,0
567,-32.39,-3.8,1.0,0,0
568,-32.38,-3.8,1.0,0,0
569,-32.37,-3.8,4.5,0,0
570,-32.36,-3.8,6.08,0,0
571,-32.35,-3.8,1.0,0,0
572,-32.34,-3.8,1.0,0,0
573,-32.33,-3.8,1.0,0,0
574,-32.32,-3.8,1.0,0,0
575,-32.31,-3.8,1.0,0,0
576,-32.3,-3.8,1.0,0,0
577,-32.65,-3.79,1.0,0,0
578,-32.64,-3.79,1.0,0,0
579,-32.63,-3.79,1.0,0,0
580,-32.62,-3.79,1.0,0,0
581,-32.61,-3.79,1.0,0,0
582,-32.6,-3.79,1.0,0,0
583,-32.59,-3.79,1.0,0,0
584,-32.58,-3.79,1.0,0,0
585,-32.57,-3.79,1.0,0,0
586,-32.56,-3.79,1.0,0,0
587,-32.55,-3.79,1.0,0,0
588,-32.54,-3.79,1.0,0,0
589,-32.53,-3.79,1.0,0,0
590,-32.52,-3.79,1.0,0,0
591,-32.51,-3.79,1.0,0,0
592,-32.5,-3.79,1.0,0,0
593,-32.49,-3.79,1.0,0,0
594,-32.48,-3.79,1.0,0,0
595,-32.47,-3.79,1.0,0,0
596,-32.46,-3.79,1.0,0,0
597,-32.45,-3.79,1.0,0,0
598,-32.44,-3.79,1.0,0,0
599,-32.43,-3.79,1.0,0,0
600,-32.42,-3.79,6.33,0,0
601,-32.41,-3.79,1.0,0,0
602,-32.4,-3.79,5.67,0,0
603,-32.39,-3.79,6.72,0,0
604,-32.38,-3.79,4.85,0,0
605,-32.37,-3.79,5.98,0,0
606,-32.36,-3.79,1.0,0,0
607,-32.35,-3.79,1.0,0,0
608,-32.34,-3.79,1.0,0,0
609,-32.33,-3.79,1.0,0,0
610,-32.32,-3.79,1.0,0,0
611,-32.31,-3.79,1.0,0,0
612,-32.3,-3.79,1.0,0,0
613,-32.65,-3.78,1.0,0,0
614,-32.64,-3.78,1.0,0,0
615,-32.63,-3.78,1.0,0,0
616,-32.62,-3.78,1.0,0,0
617,-32.61,-3.78,1.0,0,0
618,-32.6,-3.78,1.0,0,0
619,-32.59,-3.78,1.0,0,0
620,-32.58,-3.78,1.0,0,0
621,-32.57,-3.78,1.0,0,0
622,-32.56,-3.78,1.0,0,0
623,-32.55,-3.78,1.0,0,0
624,-32.54,-3.78,1.0,0,0
625,-32.53,-3.78,1.0,0,0
626,-32.52,-3.78,1.0,0,0
627,-32.51,-3.78,1.0,0,0
628,-32.5,-3.78,1.0,0,0
629,-32.49,-3.78,1.0,0,0
630,-32.48,-3.78,1.0,0,0
631,-32.47,-3.78,1.0,0,0
632,-32.46,-3.78,1.0,0,0
633,-32.45,-3.78,1.0,0,0
634,-32.44,-3.78,1.0,0,0
635,-32.43,-3.78,1.0,0,0
636,-32.42,-3.78,8.21,0,0
637,-32.41,-3.78,1.0,0,0
638,-32.4,-3.78,8.86,0,0
639,-32.39,-3.78,9.7,0,0
640,-32.38,-3.78,1.0,0,0
641,-32.37,-3.78,1.0,0,0
642,-32.36,-3.78,1.0,0,0
643,-32.35,-3.78,1.0,0,0
644,-32.34,-3.78,1.0,0,0
645,-32.33,-3.78,1.0,0,0
646,-32.32,-3.78,1.0,0,0
647,-32.31,-3.78,1.0,0,0
648,-32.3,-3.78,1.0,0,0
649,-32.65,-3.77,1.0,0,0
650,-32.64,-3.77,1.0,0,0
651,-32.63,-3.77,1.0,0,0
652,-32.62,-3.77,1.0,0,0
653,-32.61,-3.77,1.0,0,0
654,-32.6,-3.77,1.0,0,0
655,-32.59,-3.77,1.0,0,0
656,-32.58,-3.77,1.0,0,0
657,-32.57,-3.77,1.0,0,0
658,-32.56,-3.77,1.0,0,0
659,-32.55,-3.77,1.0,0,0
660,-32.54,-3.77,1.0,0,0
661,-32.53,-3.77,1.0,0,0
662,-32.52,-3.77,1.0,0,0
663,-32.51,-3.77,1.0,0,0
664,-32.5,-3.77,1.0,0,0
665,-32.49,-3.77,1.0,0,0
666,-32.48,-3.77,1.0,0,0
667,-32.47,-3.77,1.0,0,0
668,-32.46,-3.77,1.0,0,0
669,-32.45,-3.77,1.0,0,0
670,-32.44,-3.77,1.0,0,0
671,-32.43,-3.77,1.0,0,0
672,-32.42,-3.77,1.0,0,0
673,-32.41,-3.77,1.0,0,0
674,-32.4,-3.77,1.0,0,0
675,-32.39,-3.77,1.0,0,0
676,-32.38,-3.77,1.0,0,0
677,-32.37,-3.77,1.0,0,0
678,-32.36,-3.77,1.0,0,0
679,-32.35,-3.77,1.0,0,0
680,-32.34,-3.77,1.0,0,0
681,-32.33,-3.77,1.0,0,0
682,-32.32,-3.77,1.0,0,0
683,-32.31,-3.77,1.0,0,0
684,-32.3,-3.77,1.0,0,0
685,-32.65,-3.76,1.0,0,0
686,-32.64,-3.76,1.0,0,0
687,-32.63,-3.76,1.0,0,0
688,-32.62,-3.76,1.0,0,0
689,-32.61,-3.76,1.0,0,0
690,-32.6,-3.76,1.0,0,0
691,-32.59,-3.76,1.0,0,0
692,-32.58,-3.76,1.0,0,0
693,-32.57,-3.76,1.0,0,0
694,-32.56,-3.76,1.0,0,0
695,-32.55,-3.76,1.0,0,0
696,-32.54,-3.76,1.0,0,0
697,-32.53,-3.76,1.0,0,0
698,-32.52,-3.76,1.0,0,0
699,-32.51,-3.76,1.0,0,0
700,-32.5,-3.76,1.0,0,0
701,-32.49,-3.76,1.0,0,0
702,-32.48,-3.76,1.0,0,0
703,-32.47,-3.76,1.0,0,0
704,-32.46,-3.76,1.0,0,0
705,-32.45,-3.76,1.0,0,0
706,-32.44,-3.76,1.0,0,0
707,-32.43,-3.76,1.0,0,0
708,-32.42,-3.76,1.0,0,0
709,-32.41,-3.76,1.0,0,0
710,-32.4,-3.76,1.0,0,0
711,-32.39,-3.76,1.0,0,0
712,-32.38,-3.76,1.0,0,0
713,-32.37,-3.76,1.0,0,0
714,-32.36,-3.76,1.0,0,0
715,-32.35,-3.76,1.0,0,0
716,-32.34,-3.76,1.0,0,0
717,-32.33,-3.76,1.0,0,0
718,-32.32,-3.76,1.0,0,0
719,-32.31,-3.76,1.0,0,0
720,-32.3,-3.76,1.0,0,0
721,-32.65,-3.75,1.0,0,0
722,-32.64,-3.75,1.0,0,0
723,-32.63,-3.75,1.0,0,0
724,-32.62,-3.75,1.0,0,0
725,-32.61,-3.75,1.0,0,0
726,-32.6,-3.75,1.0,0,0
727,-32.59,-3.75,1.0,0,0
728,-32.58,-3.75,1.0,0,0
729,-32.57,-3.75,1.0,0,0
730,-32.56,-3.75,1.0,0,0
731,-32.55,-3.75,1.0,0,0
732,-32.54,-3.75,1.0,0,0
733,-32.53,-3.75,1.0,0,0
734,-32.52,-3.75,1.0,0,0
735,-32.51,-3.75,1.0,0,0
736,-32.5,-3.75,1.0,0,0
737,-32.49,-3.75,1.0,0,0
738,-32.48,-3.75,1.0,0,0
739,-32.47,-3.75,1.0,0,0
740,-32.46,-3.75,1.0,0,0
741,-32.45,-3.75,1.0,0,0
742,-32.44,-3.75,1.0,0,0
743,-32.43,-3.75,1.0,0,0
744,-32.42,-3.75,1.0,0,0
745,-32.41,-3.75,1.0,0,0
746,-32.4,-3.75,1.0,0,0
747,-32.39,-3.75,1.0,0,0
748,-32.38,-3.75,1.0,0,0
749,-32.37,-3.75,1.0,0,0
750,-32.36,-3.75,1.0,0,0
751,-32.35,-3.75,1.0,0,0
752,-32.34,-3.75,1.0,0,0
753,-32.33,-3.75,1.0,0,0
754,-32.32,-3.75,1.0,0,0
755,-32.31,-3.75,1.0,0,0
756,-32.3,-3.75,1.0,0,0
